provider,code,status_zh,status_en,category,description,next_action
ecpay,300,訂單處理中(綠界已收到訂單資料),,pending,物流商：UNIMART、UNIMARTC2C、FAMI、FAMIC2C、HILIFE、HILIFEC2C、TCAT,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,310,訂單上傳物流中,,pending,物流商：UNIMART、FAMI、FAMIC2C、HILIFE、HILIFEC2C、TCAT,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2000,已申請門市變更,,status,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2001,訂單傳送超商成功,,status,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2002,出貨單號不合規則,,error,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2003,XML檔內出貨單號重複,,error,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2004,出貨單號重複上傳使用(驗收時發現),,error,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2005,日期格式不符,,error,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2006,訂單金額或代收金額錯誤,,error,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2007,商品類型為空,,status,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2008,訂單為空,,status,物流商：UNIMART,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2009,門市店號為空,,status,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2010,出貨日期為空,,status,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2011,出貨金額為空,,status,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2012,出貨編號不存在,,status,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2013,母廠商不存在,,status,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2014,子廠商不存在,,status,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2015,出貨編號已存在(單筆),,status,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2016,門市已關轉店，將進行退貨處理,,returning,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2017,出貨日期不符合規定,,error,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2018,服務類型不符規定(如只開取貨付款服務，卻使用純取貨服務),,error,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2019,商品類型不符規定,,error,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2020,廠商尚未申請店配服務,,status,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2021,[UNIMART、HILIFEC2C] 同一批次出貨編號重複(批次) / [HILIFE] 同一批次出貨編號重覆(批次),,error,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2022,出貨金額不符規定,,error,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2023,取貨人姓名為空,,status,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2024,訂單傳送超商成功,,status,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2025,門市轉店號(舊門市店號已更新),,status,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2026,無此門市，將進行退貨處理,,returning,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2027,門市指定時間不配送，後續配送中,,status,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2028,門市關轉店，3日內未更新SUP(新店號)便至退貨流程,,returning,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2029,門市尚未開店,,status,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2030,物流中心驗收成功,,status,物流商：UNIMART、UNIMARTC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2031,等待賣家出貨,,status,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2032,包裝異常，請洽客服,,error,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2033,包裹超材，退回賣家,,returning,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2034,違禁品(退貨及罰款處理),,returning,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2035,[UNIMART、HILIFEC2C] 訂單資料重複上傳 / [HILIFE] 訂單資料重覆上傳,,error,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2036,訂單超過驗收期限（賣家未出貨）,,status,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2037,取件門市關轉，請重選門市,,status,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2038,標籤錯誤，廠退處理,,error,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2039,標籤錯誤，廠退處理,,error,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2040,標籤錯誤，廠退處理,,error,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2041,物流中心理貨中,,status,物流商：UNIMART、UNIMARTC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2042,包裹遺失，進入賠償程序,,error,物流商：UNIMART、UNIMARTC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2043,門市指定時間不配送，後續配送中,,status,物流商：UNIMART、UNIMARTC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2044,賣家已取退回包裹,,returned,物流商：UNIMART,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2045,不正常到貨(商品提早到物流中心)，廠退處理,,returning,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2046,貨件未取退回大智通物流中心,,returning,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2047,正常二退(退貨時間延長，在判賠期限內退回),,returning,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2048,包裝異常，請洽客服,,error,物流商：UNIMART、UNIMARTC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2049,門市關店，將進行退貨處理,,returning,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2050,門市轉店，將進行退貨處理,,returning,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2051,賣家要求提早退貨,,returning,物流商：UNIMART、UNIMARTC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2052,違禁品(退貨及罰款處理),,returning,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2053,門市誤刷取件，包裹退回中,,returning,物流商：UNIMART、UNIMARTC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
